Community	Subject	Topic	Room	Channel	Source	Target	Time	Finish Time	Duration	Event Type	Event	
Spring 2013 Whitehead	Dynamic Geometry	Topic 05	Session 5_3	CID:1362920853719	Dfonseca69	penguinoidhung	0:00:00	28:00.7		Geogebra:Topic 5	2013-03-13 13:28:00.725 - Dfonseca69 -> tool changed to Move	
Spring 2013 Whitehead	Dynamic Geometry	Topic 05	Session 5_3	CID:1362920853719	jake19	Dfonseca69	0:00:11	28:15.0	0:00:11	awareness	2013-03-13 13:28:14.967 - jake19 -> [fully erased the chat message]	
Spring 2013 Whitehead	Dynamic Geometry	Topic 05	Session 5_3	CID:1362920853719	arrenn429	jake19	0:00:02	28:08.7	0:00:02	chat	2013-03-13 13:28:08.712 - arrenn429 -> 10 mins left	
Spring 2013 Whitehead	Dynamic Geometry	Topic 05	Session 5_3	CID:1362920853719	penguinoidhung	arrenn429	0:00:08	28:19.8	0:00:08	chat	2013-03-13 13:28:19.816 - penguinoidhung -> Let get started on #1	
Spring 2013 Whitehead	Dynamic Geometry	Topic 05	Session 5_3	CID:1362920853719	jake19	penguinoidhung	0:00:11	28:26.9	0:00:11	chat	2013-03-13 13:28:26.929 - jake19 -> okay so who is starting..arren ur up	
Spring 2013 Whitehead	Dynamic Geometry	Topic 05	Session 5_3	CID:1362920853719	Dfonseca69	jake19	0:0:-8	28:18.3		Geogebra:Topic 5	2013-03-13 13:28:18.298 - Dfonseca69 -> tool changed to New Point	
Spring 2013 Whitehead	Dynamic Geometry	Topic 05	Session 5_3	CID:1362920853719	Dfonseca69	Dfonseca69	0:00:01	28:19.5		Geogebra:Topic 5	2013-03-13 13:28:19.467 - Dfonseca69 -> added point:Point A	
Spring 2013 Whitehead	Dynamic Geometry	Topic 05	Session 5_3	CID:1362920853719	Dfonseca69	Dfonseca69	0:00:01	28:20.6		Geogebra:Topic 5	2013-03-13 13:28:20.636 - Dfonseca69 -> added point:Point B	
Spring 2013 Whitehead	Dynamic Geometry	Topic 05	Session 5_3	CID:1362920853719	penguinoidhung	Dfonseca69	0:00:07	28:32.8	0:00:07	chat	2013-03-13 13:28:32.834 - penguinoidhung -> David you're the controller	
Spring 2013 Whitehead	Dynamic Geometry	Topic 05	Session 5_3	CID:1362920853719	Dfonseca69	penguinoidhung	0:00:05	28:31.4	0:00:05	chat	2013-03-13 13:28:31.442 - Dfonseca69 -> i made 2 points	
Spring 2013 Whitehead	Dynamic Geometry	Topic 05	Session 5_3	CID:1362920853719	Dfonseca69	Dfonseca69	0:00:02	28:41.6	0:00:02	awareness	2013-03-13 13:28:41.635 - Dfonseca69 -> [fully erased the chat message]	
Spring 2013 Whitehead	Dynamic Geometry	Topic 05	Session 5_3	CID:1362920853719	jake19	Dfonseca69	0:00:05	28:45.4	0:00:05	chat	2013-03-13 13:28:45.431 - jake19 -> 0h arren is timer	
Spring 2013 Whitehead	Dynamic Geometry	Topic 05	Session 5_3	CID:1362920853719	jake19	jake19	0:00:01	28:47.9	0:00:01	chat	2013-03-13 13:28:47.937 - jake19 -> okayyyy	
Spring 2013 Whitehead	Dynamic Geometry	Topic 05	Session 5_3	CID:1362920853719	jake19	jake19	0:00:07	29:00.3	0:00:07	chat	2013-03-13 13:29:00.259 - jake19 -> so david do sumthn	
Spring 2013 Whitehead	Dynamic Geometry	Topic 05	Session 5_3	CID:1362920853719	Dfonseca69	jake19	0:0:-4	28:56.0		Geogebra:Topic 5	2013-03-13 13:28:55.954 - Dfonseca69 -> tool changed to Move	
Spring 2013 Whitehead	Dynamic Geometry	Topic 05	Session 5_3	CID:1362920853719	Dfonseca69	Dfonseca69	0:00:01	28:57.3		Geogebra:Topic 5	2013-03-13 13:28:57.325 - Dfonseca69 -> updated Point A	
Spring 2013 Whitehead	Dynamic Geometry	Topic 05	Session 5_3	CID:1362920853719	Dfonseca69	Dfonseca69	0:00:01	28:58.5		Geogebra:Topic 5	2013-03-13 13:28:58.479 - Dfonseca69 -> updated Point B	
Spring 2013 Whitehead	Dynamic Geometry	Topic 05	Session 5_3	CID:1362920853719	arrenn429	Dfonseca69	0:00:17	29:19.6	0:00:17	chat	2013-03-13 13:29:19.566 - arrenn429 -> just dont worry about time management, i will deal with that	
Spring 2013 Whitehead	Dynamic Geometry	Topic 05	Session 5_3	CID:1362920853719	penguinoidhung	arrenn429	0:00:08	29:16.1	0:00:08	chat	2013-03-13 13:29:16.095 - penguinoidhung -> He is dragging the points	
Spring 2013 Whitehead	Dynamic Geometry	Topic 05	Session 5_3	CID:1362920853719	jake19	penguinoidhung	0:00:01	29:09.8	0:00:01	awareness	2013-03-13 13:29:09.839 - jake19 -> [fully erased the chat message]	
Spring 2013 Whitehead	Dynamic Geometry	Topic 05	Session 5_3	CID:1362920853719	Dfonseca69	jake19	0:0:-1	29:08.8		Geogebra:Topic 5	2013-03-13 13:29:08.817 - Dfonseca69 -> updated Point B	
Spring 2013 Whitehead	Dynamic Geometry	Topic 05	Session 5_3	CID:1362920853719	jake19	Dfonseca69	0:00:06	29:32.9	0:00:06	chat	2013-03-13 13:29:32.917 - jake19 -> how much time arren	
